Customer_ID,Contract_ID,Payment_ID,Gender,Age,Tenure_Months,Monthly_Charges,Total_Charges,Internet_Service,Customer_Support_Calls,Senior_Citizen,Partner,Dependents,Churn
CUST00001,CON00001,PAY00001,Female,29,58,95.71,5551.18,Fiber Optic,6,No,Yes,No,Yes
CUST00002,CON00002,PAY00002,Female,56,69,99.46,6862.74,Fiber Optic,2,Yes,Yes,Yes,Yes
CUST00003,CON00003,PAY00003,Female,27,39,27.99,1091.61,,3,No,No,No,Yes
CUST00004,CON00004,PAY00004,Male,24,38,48.59,1846.42,Fiber Optic,1,Yes,No,No,No
CUST00005,CON00005,PAY00005,Male,73,44,63.18,2779.92,Cable,6,No,Yes,No,Yes
CUST00006,CON00006,PAY00006,Female,33,50,31.7,1585.0,Fiber Optic,6,No,Yes,No,Yes
CUST00007,CON00007,PAY00007,Male,35,15,84.49,1267.35,DSL,2,Yes,No,Yes,No
CUST00008,CON00008,PAY00008,Male,72,55,30.58,1681.9,,5,No,Yes,Yes,No
CUST00009,CON00009,PAY00009,Female,27,36,30.89,1112.04,,2,No,No,No,Yes
CUST00010,CON00010,PAY00010,Male,70,6,84.68,508.08,,0,Yes,No,Yes,Yes
CUST00011,CON00011,PAY00011,Male,69,56,84.11,4710.16,Cable,0,No,No,No,No
CUST00012,CON00012,PAY00012,Female,24,67,47.65,3192.55,DSL,6,No,No,No,Yes
CUST00013,CON00013,PAY00013,Female,27,61,52.71,3215.31,Cable,0,No,Yes,Yes,No
CUST00014,CON00014,PAY00014,Male,71,50,78.75,3937.5,,4,No,No,Yes,Yes
CUST00015,CON00015,PAY00015,Male,18,30,53.93,1617.9,,2,No,Yes,Yes,No
CUST00016,CON00016,PAY00016,Female,48,33,103.68,3421.44,Cable,4,Yes,No,No,Yes
CUST00017,CON00017,PAY00017,Female,75,21,84.83,1781.43,Cable,0,Yes,Yes,No,Yes
CUST00018,CON00018,PAY00018,Female,37,65,28.36,1843.4,DSL,3,No,No,Yes,Yes
CUST00019,CON00019,PAY00019,Male,25,36,60.83,2189.88,Fiber Optic,1,No,No,No,Yes
CUST00020,CON00020,PAY00020,Male,63,57,79.66,4540.62,Cable,1,No,No,No,No
CUST00021,CON00021,PAY00021,Male,26,36,54.41,1958.76,Fiber Optic,1,Yes,No,No,No
CUST00022,CON00022,PAY00022,Female,34,51,27.12,1383.12,Fiber Optic,5,No,Yes,No,Yes
